observationid,mediaid,vote,content,classid,family,genus,species,author,date,location,latitude,longitude,yearinclef,observationid2014,imageid2014,learntag
28448,101902,1,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,julien champ,2013-5-16,Montpellier,,,PlantCLEF2014,12483,9172,Train
30542,101915,4,Flower,151,Apiaceae,Daucus,Daucus carota L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,7007,10855,Train
34354,101924,5,Flower,14867,Liliaceae,Tulipa,Tulipa sylvestris L.,julien barataud,2008-3-27,Fabrègues,,,PlantCLEF2014,234,6861,Train
32496,10194,5,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,liliane roubaudi,2014-5-22,Vendres,,,PlantCLEF2015,,,Train
24081,101950,4.5,Flower,4477,Ranunculaceae,Anemone,Anemone alpina L.,liliane roubaudi,2013-6-16,Chamonix-Mont-Blanc,,,PlantCLEF2014,7020,7115,Train
18030,101951,4,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,alain bigou,2014-7-1,Le Port,42.80845,1.37534,PlantCLEF2015,,,Train
14957,101965,3,Flower,786,Asteraceae,Eupatorium,Eupatorium cannabinum L.,jean-pierre cazes,2014-8-24,Siorac-en-Périgord,44.83469,0.94679,PlantCLEF2015,,,Train
34806,102030,3,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,bertrand bui,2011-5-25,Paris,43.16954,5.5906,ImageCLEF2013,2607,47955,Train
27897,102064,3,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,robin guidez,2012-6-22,Locmaria-Plouzané,48.36228,-4.64117,ImageCLEF2013,1169,2046,Train
2771,102169,3,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,pablo behague,1800-1-1,,,,PlantCLEF2014,18822,53938,Train
2328,102172,2.5,Flower,4353,Primulaceae,Primula,Primula vulgaris Huds.,paul fabre,2013-4-6,Versoix,46.29257,6.13818,PlantCLEF2014,7010,55257,Train
32036,102208,3,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,nicolas dubelski,2011-5-16,Elounda,,,ImageCLEF2013,18064,43274,Train
4019,10221,3,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,3988,38237,Train
21584,102277,5,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,liliane roubaudi,2013-10-13,Rochetaillée-sur-Saône,,,PlantCLEF2014,17922,54506,Train
35343,102283,5,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,liliane roubaudi,2013-6-5,Saint-Savinien,,,PlantCLEF2015,,,Train
35229,102305,4,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,anne-marie gelmetti,2011-6-30,Florange,49.31395,6.13664,PlantCLEF2014,8879,34170,Train
7649,102345,4,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,madeleine sarran,2011-5-24,Sisteron,,,PlantCLEF2014,15316,25499,Train
21835,102346,3,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,jerome carminati,2011-8-26,Besançon,47.24598,5.98713,PlantCLEF2014,15353,39607,Train
17866,102406,3,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,claire sutter,2009-6-20,Nordheim,48.64292,7.47281,PlantCLEF2014,18345,1982,Train
27969,10244,3,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,samuel dufour-kowalski,2012-11-26,St Leu Les brules de St Leu,-21.10527,55.38092,PlantCLEF2015,,,Train
18133,102447,4,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,jean-jacques houdre,2011-7-31,Le Béage,44.8527,4.15739,PlantCLEF2014,15790,23222,Train
36708,102476,3,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,michel demares,2005-1-31,Toulon,,,PlantCLEF2014,2933,1541,Train
31863,102502,3,Flower,30491,Violaceae,Viola,Viola tricolor L.,alain bigou,2010-7-4,Eyne,,,PlantCLEF2014,15390,26056,Train
21379,102520,4,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,dominique remaud,2013-6-11,Limay,,,PlantCLEF2014,10112,6446,Train
34127,102522,4,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,liliane roubaudi,2013-9-24,Lespignan,,,PlantCLEF2015,,,Train
27298,102599,3,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,liliane roubaudi,2013-5-18,Gruissan,,,PlantCLEF2014,166,48563,Train
4130,102626,4,Flower,1047,Asteraceae,Leucanthemum,Leucanthemum vulgare Lam.,herve goeau,2013-6-27,,,,PlantCLEF2014,17852,51414,Train
21932,102636,3,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,jean-luc gorremans,2010-5-1,Auvers-Saint-Georges,48.47912,2.24782,ImageCLEF2013,7241,37831,Train
7069,102698,3,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",julien barataud,2005-5-19,Saint-Genès-Champespe,,,ImageCLEF2013,12785,58463,Train
24528,102735,3,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,daniel mathieu,2009-5-12,Prades-le-Lez,,,PlantCLEF2014,2880,1801,Train
15073,102764,2,Flower,5148,Salicaceae,Salix,Salix caprea L.,herve goeau,2013-4-8,Sainte-Geneviève-des-Bois,48.8567,2.24104,PlantCLEF2014,17662,40951,Train
4672,10277,4,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",guy libante,2013-5-26,Carcans,45.11039,-1.06536,PlantCLEF2014,2381,15996,Train
11509,102841,3,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,florent beck,2013-5-16,Payros-Cazautets,,,PlantCLEF2014,7662,11577,Train
35395,102859,3,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,mathieu menand,2008-5-31,Viala-du-Pas-de-Jaux,,,PlantCLEF2014,16007,51511,Train
9820,10286,4,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,8384,1328,Train
7917,102919,3.5,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,309106296ee78eaa0d2af97ad7b9f141,2013-3-21,Tavel,44.013,4.695,PlantCLEF2014,18144,27350,Train
22010,102925,4,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,liliane roubaudi,2013-8-20,Champex-lac,,,PlantCLEF2015,,,Train
18015,102944,3,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,thierry siffert,2011-4-13,Marseille,,,PlantCLEF2014,7118,29286,Train
16177,102951,3,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,paul fabre,2011-5-21,Rochefort-Samson,44.95324,5.19092,ImageCLEF2013,10060,12645,Train
2435,102978,2.5,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,emmanuel stratmains,2012-7-14,Le Mans,48.0327,0.18483,ImageCLEF2013,966,23806,Train
16868,103079,3,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,francois meignant,2009-10-2,Eix,49.18876,5.47765,PlantCLEF2014,11404,57668,Train
31171,10308,4,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,thierry pernot,1800-1-1,,,,PlantCLEF2014,16587,50436,Train
24020,103088,3,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,thierry pernot,1800-1-1,,,,PlantCLEF2014,13632,23999,Train
28181,103130,3,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,julien barataud,2005-5-2,Soursac,,,PlantCLEF2014,11092,4889,Train
20187,103222,3,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,alexis joly,2013-5-25,,43.60713,3.73291,PlantCLEF2014,1720,7741,Train
7964,103228,4,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,1766,59371,Train
17014,103237,1,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,pierre bonnet,2013-5-18,Fillols,,,PlantCLEF2014,17124,47977,Train
16157,10327,4,Flower,4034,Papaveraceae,Glaucium,Glaucium flavum Crantz,paul fabre,2012-5-27,Saint-Privat,43.7534,3.47155,PlantCLEF2014,1313,54592,Train
6758,103282,3,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,francois granja,2011-4-12,Balma,43.6061,1.50003,PlantCLEF2014,4151,30764,Train
36944,103312,4,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,ans gorter,2014-5-24,Province de Cadix,41.67142,-0.25414,PlantCLEF2015,,,Train
23647,103338,2.5,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,gregoire duche,2012-5-26,Le Pont-de-Montvert,44.3638,3.73641,ImageCLEF2013,9905,52468,Train
34707,103458,5,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,gilles salama,2013-6-9,Pin-Balma,43.61212,1.52635,PlantCLEF2014,7434,25525,Train
10925,103473,1,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,genevieve botti,2014-4-19,La Ciotat,,,PlantCLEF2015,,,Train
5105,103478,4,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,liliane roubaudi,2013-9-13,Fleury,,,PlantCLEF2014,3130,24618,Train
19892,103537,4,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,thierry pernot,1800-1-1,,,,PlantCLEF2014,11733,42613,Train
2904,103540,4,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,jean-paul hugbart,2014-4-20,Chalon-sur-Saône,46.78316,4.86418,PlantCLEF2015,,,Train
28740,103556,4,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,paul fabre,2010-5-24,Berrias-et-Casteljau,44.38669,4.20255,PlantCLEF2014,12515,18638,Train
11603,103559,3.5,Flower,5148,Salicaceae,Salix,Salix caprea L.,herve goeau,2013-3-24,Sainte-Geneviève-des-Bois,48.8567,2.24104,PlantCLEF2014,6379,16023,Train
29239,103574,3,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,john de vos,2012-6-9,Rouet,43.8227,3.79779,ImageCLEF2013,13178,29673,Train
15016,103616,4,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,marc chouillou,2012-6-11,Barre-des-Cévennes,44.22595,3.65819,PlantCLEF2014,12928,20010,Train
20978,103658,4,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,jean-joseph osty,2013-8-25,Camarès,43.80095,2.90896,PlantCLEF2014,9623,2579,Train
22234,103677,4,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,herve goeau,2014-4-17,Sainte-Geneviève-des-Bois,48.64744,2.30694,PlantCLEF2015,,,Train
27306,103726,3,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,14401,4331,Train
9270,10376,4,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,mathieu sinet,1800-1-1,Roquecourbe,43.67134,2.29338,PlantCLEF2015,,,Train
21313,103782,3,Flower,4353,Primulaceae,Primula,Primula vulgaris Huds.,thierry pernot,1800-1-1,,,,PlantCLEF2014,11458,36803,Train
11201,103818,3,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,jean-jacques houdre,2012-5-12,Mas-Saint-Chély,44.32194,3.41694,PlantCLEF2014,2017,57386,Train
24366,103840,3,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,christophe huisse,2013-6-8,,48.517,4.30028,PlantCLEF2014,9628,30603,Train
32837,103887,3,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,hugues haeffner,2013-5-25,Lignerolles,48.59976,0.58647,PlantCLEF2014,18552,56483,Train
5696,103897,3,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,philippe baldi,2012-3-23,Fournès-Gard,43.91719,4.61082,PlantCLEF2014,8026,9643,Train
20635,103914,3,Flower,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,pierre bonnet,2013-5-18,Fillols,,,PlantCLEF2014,18728,45297,Train
16075,103930,3,Flower,151,Apiaceae,Daucus,Daucus carota L.,Unknown369,2013-5-29,Neuilly-sur-Marne,48.86688,2.53875,PlantCLEF2014,4455,30380,Train
28996,103965,4,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,liliane roubaudi,2013-4-17,Fleury,,,PlantCLEF2014,12796,58714,Train
19892,104027,4,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,thierry pernot,1800-1-1,,,,PlantCLEF2014,11733,22431,Train
31758,104062,3,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,florent beck,2013-6-15,Roques,43.51028,1.37722,PlantCLEF2014,13170,23752,Train
399,104065,4,Flower,4353,Primulaceae,Primula,Primula vulgaris Huds.,herve goeau,2014-2-9,,45.47021,5.05332,PlantCLEF2015,,,Train
18747,104111,3,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,errol vela,2014-4-11,"Sidi Aich, ALGERIE",36.6026,4.69448,PlantCLEF2015,,,Train
40229,104115,3,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,christophe girod,2003-6-4,Gruissan (Puech Redon) (11),,,ImageCLEF2013,76,22433,Train
13206,104143,2,Flower,4026,Papaveraceae,Chelidonium,Chelidonium majus L.,pierre bonnet,2014-5-22,Montpellier,43.59676,3.90063,PlantCLEF2015,,,Train
29360,104145,2.5,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,jean-luc gorremans,2012-5-28,Athis-Mons,48.6985,2.37857,PlantCLEF2014,7613,33474,Train
23412,104182,3,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,paul fabre,2010-4-29,Clapiers,43.66087,3.87055,PlantCLEF2014,6532,10116,Train
19137,104207,4,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,pierre bonnet,2013-6-4,Montpellier,43.5995,3.90013,PlantCLEF2014,5971,2264,Train
40451,104273,5,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,louise boulangeat,2013-4-11,Montpellier,43.64109,3.84886,PlantCLEF2014,15565,39683,Train
23116,104342,3.5,Flower,493,Asteraceae,Bellis,Bellis perennis L.,pierre bonnet,2011-3-20,Palavas-les-Flots,43.65188,3.86169,PlantCLEF2014,13209,25124,Train
16409,104384,3,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,julien barataud,2007-4-22,Leucate,,,ImageCLEF2013,299,50971,Train
13001,1044,3,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,daniel barthelemy,2012-8-7,"Valsavarenche, ValAoste, Italie",,,PlantCLEF2014,7543,15526,Train
23842,104499,4,Flower,4477,Ranunculaceae,Anemone,Anemone alpina L.,julien barataud,2007-5-10,Olette,,,PlantCLEF2014,16847,33438,Train
32009,104511,4,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,genevieve botti,2013-4-3,Marseille,,,PlantCLEF2015,,,Train
126,104595,4,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,paul fabre,2010-5-25,Les Assions,44.43021,4.15998,PlantCLEF2014,13701,28663,Train
31954,104683,3,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,annie gauliard-dieng,2008-6-17,Bellefontaine,46.55805,6.06694,ImageCLEF2013,2093,30349,Train
10120,104695,5,Flower,6437,Orchidaceae,Dactylorhiza,Dactylorhiza maculata (L.) Soó,corentin bonnard,2013-5-23,Le Pont-de-Beauvoisin,45.52472,5.67009,PlantCLEF2014,11147,14680,Train
8328,104798,4,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,john de vos,2006-6-17,Saint-Mathieu-de-Tréviers,43.76149,3.8747,ImageCLEF2013,5381,21945,Train
36760,104867,2,Flower,493,Asteraceae,Bellis,Bellis perennis L.,julien barbe,2013-6-21,Belmont-sur-Rance,43.82367,2.75467,PlantCLEF2014,16606,24056,Train
